,Polk,"1,288",12,70,185,"1,021","9,473","3,274","5,779",420,7,,
,Santa Rosa,199,1,24,13,161,"1,913",602,"1,219",92,4,,
,Sarasota,769,8,39,165,557,"7,912","2,224","5,420",268,10,,
,Seminole,621,6,43,79,493,"3,369",907,"2,276",186,0,,
,St. Johns,517,4,10,56,447,"3,789",841,"2,768",180,3,,
,St. Lucie,268,2,20,50,196,"1,920",637,"1,191",92,3,,
,Volusia,714,10,51,104,549,"5,528","1,878","3,362",288,22,,
,Wakulla,90,2,12,7,69,748,167,567,14,7,,
FLORIDA - Nonmetropolitan Counties,Bradford,77,0,1,1,75,329,138,172,19,1,,
,Calhoun,9,1,0,0,8,76,33,38,5,0,,
,Citrus,398,5,17,60,316,"2,868",806,"1,934",128,30,,
,Columbia,233,3,5,11,214,"1,406",532,840,34,0,,
,DeSoto,107,1,5,18,83,623,284,318,21,1,,
,Dixie,62,0,14,4,44,415,163,227,25,5,,
,Franklin,92,0,9,1,82,185,55,122,8,2,,
,Glades,41,1,1,6,33,270,77,172,21,0,,
,Gulf,48,1,0,0,47,169,62,103,4,1,,
,Hamilton,34,0,1,1,32,223,94,108,21,0,,
,Hardee,44,1,10,8,25,532,197,312,23,0,,
,Hendry,223,7,9,24,183,"1,080",471,562,47,9,,
,Highlands,191,2,10,24,155,"1,828",630,"1,128",70,0,,
,Holmes,58,1,4,1,52,240,55,168,17,0,,
,Jackson,124,0,17,4,103,715,170,525,20,0,,
,Lafayette,12,0,0,0,12,64,15,47,2,0,,
,Levy,126,1,11,10,104,918,326,545,47,6,,
,Liberty,7,0,0,0,7,38,17,21,0,0,,
,Madison,92,0,2,8,82,250,91,149,10,1,,
,Monroe,164,1,12,14,137,"1,847",327,"1,468",52,0,,
,Okeechobee,183,0,27,17,139,"1,042",433,578,31,1,,
,Putnam,433,1,33,57,342,"2,453","1,120","1,258",75,8,,
,Sumter,120,1,14,12,93,656,208,419,29,4,,
,Suwannee,110,1,4,2,103,528,174,325,29,0,,
,Taylor,62,3,1,2,56,170,125,39,6,0,,
,Union,35,0,2,5,28,170,80,85,5,0,,
,Walton,153,3,6,1,143,"1,198",376,759,63,3,,
,Washington,52,2,0,3,47,239,77,149,13,0,,
GEORGIA - Metropolitan Counties,Augusta-Richmond,990,26,104,550,310,"13,336","3,817","8,108","1,411",74,,
,Barrow,173,0,8,7,158,943,267,614,62,,,
,Bartow,241,2,7,37,195,"2,841",805,"1,845",191,0,,
,Bibb,218,3,11,35,169,"2,762",672,"1,855",235,9,,
,Brantley,45,0,7,2,36,293,201,92,0,3,,
,Brooks,28,0,0,1,27,227,68,132,27,,,
,Bryan,32,0,1,2,29,424,120,298,6,1,,
,Burke,148,2,0,0,146,494,147,344,3,0,,
,Butts,42,3,6,18,15,511,147,313,51,1,,
,Carroll,107,2,8,10,87,"1,583",503,938,142,10,,
,Catoosa,76,0,9,8,59,"1,040",265,666,109,1,,
,Chatham,0,0,0,0,0,0,0,0,0,0,,
,Chattahoochee,18,2,2,3,11,55,24,27,4,2,,
,Cherokee,107,0,13,19,75,"2,114",665,"1,348",101,4,,
,Clarke,2,0,0,0,2,0,0,0,0,0,,
,Clayton,4,0,0,1,3,8,0,7,1,0,,
,Clayton County Police Department,"1,060",28,74,491,467,"10,164","3,770","4,989","1,405",32,,
,Cobb,0,0,0,0,0,0,0,0,0,0,,
,Cobb County Police Department,934,18,92,388,436,"11,112","3,376","6,836",900,32,,
,Columbia,94,4,19,20,51,"2,438",452,"1,900",86,10,,
,Coweta,102,2,15,18,67,"1,651",453,"1,086",112,5,,
,Crawford,28,0,3,1,24,523,158,335,30,1,,
